Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,1,132,320,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,BX80673I99940X,Intel,Core i9-9940X,2,127,6,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,BX80673I99960X,Intel,Core i9-9960X,3,126,2,https://cpu.userbenchmark.com/SpeedTest/653060/IntelR-CoreTM-i9-9960X-CPU---310GHz
CPU,BX80673I99920X,Intel,Core i9-9920X,4,122,4,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,BX80673I99980X,Intel,Core i9-9980XE,5,122,11,https://cpu.userbenchmark.com/SpeedTest/652504/IntelR-CoreTM-i9-9980XE-CPU---300GHz
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,6,121,24,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor
CPU,BX80673I97960X,Intel,Core i9-7960X,7,120,565,https://cpu.userbenchmark.com/SpeedTest/357952/IntelR-CoreTM-i9-7960X-CPU---280GHz
CPU,BX80684I99900K,Intel,Core i9-9900K,8,120,6748,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80673I97980X,Intel,Core i9-7980XE,9,119,1096,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,10,117,981,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,BX80673I97940X,Intel,Core i9-7940X,11,116,1125,https://cpu.userbenchmark.com/SpeedTest/353078/IntelR-CoreTM-i9-7940X-CPU---310GHz
CPU,BX80673I99900X,Intel,Core i9-9900X,12,115,16,https://cpu.userbenchmark.com/SpeedTest/639130/IntelR-CoreTM-i9-9900X-CPU---350GHz
CPU,BX80684I79700K,Intel,Core i7-9700K,13,113,5525,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX80673I79800X,Intel,Core i7-9800X,14,113,17,https://cpu.userbenchmark.com/SpeedTest/651256/IntelR-CoreTM-i7-9800X-CPU---380GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,15,112,10535,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80673I97920X,Intel,Core i9-7920X,16,112,1295,https://cpu.userbenchmark.com/SpeedTest/278103/IntelR-CoreTM-i9-7920X-CPU---350GHz
CPU,BX80673I97900X,Intel,Core i9-7900X,17,110,7034,https://cpu.userbenchmark.com/Intel-Core-i9-7900X/Rating/3936
CPU,BX80673I99820X,Intel,Core i9-9820X,18,109,2,https://cpu.userbenchmark.com/SpeedTest/651318/IntelR-CoreTM-i9-9820X-CPU---330GHz
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,19,109,53,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,20,108,7935,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,BX80684I78700K,Intel,Core i7-8700K,21,107,209871,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80673I77820X,Intel,Core i7-7820X,22,107,10077,https://cpu.userbenchmark.com/Intel-Core-i7-7820X/Rating/3928
CPU,BX80684I59600K,Intel,Core i5-9600K,23,104,5093,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX80684I78700,Intel,Core i7-8700,24,102,47822,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80684I58600K,Intel,Core i5-8600K,25,101,73753,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
