name,score,rank
AMD A10 PRO-7350B APU,3207,1164
AMD A10 PRO-7800B APU,5108,748
AMD A10 PRO-7850B APU,5382,711
AMD A10-4600M APU,3112,1194
AMD A10-4657M APU,2906,1263
AMD A10-5700 APU,4208,927
AMD A10-5750M APU,3343,1126
AMD A10-5757M APU,3084,1203
AMD A10-5800B APU,4669,830
AMD A10-5800K APU,4638,836
AMD A10-6700 APU,4596,850
AMD A10-6700T APU,3693,1041
AMD A10-6790K APU,4703,825
AMD A10-6800B APU,4991,780
AMD A10-6800K APU,4864,802
AMD A10-7300 APU,2908,1261
AMD A10-7400P,3619,1051
AMD A10-7700K APU,5128,744
AMD A10-7800 APU,4994,779
AMD A10-7850K APU,5476,694
AMD A10-7860K,5080,758
AMD A10-7870K,5475,695
AMD A10-7890K,5727,663
AMD A10-8700P,3444,1097
AMD A10-8750,5082,757
AMD A10-8850,5598,682
AMD A10-9600P,3795,1010
AMD A10-9620P,3701,1036
AMD A10-9630P,4497,869
AMD A10-9700,5435,702
AMD A10-9700E,4649,834
AMD A12-9700P,3725,1029
AMD A12-9720P,3987,969
AMD A12-9730P,4381,891
AMD A12-9800,5522,692
AMD A12-9800E,5104,750
AMD A6-3620 APU,2799,1300
AMD A6-3650 APU,3156,1183
AMD A6-3670 APU,3180,1170
AMD A6-8550,3104,1196
AMD A6-9500,2996,1231
AMD A6-9500E,2889,1274
AMD A8 PRO-7600B APU,4802,814
AMD A8-3800 APU,3034,1220
AMD A8-3820 APU,3111,1195
AMD A8-3850 APU,3467,1093
AMD A8-3870K APU,3548,1073
AMD A8-5500 APU,3994,967
AMD A8-5500B APU,3954,976
AMD A8-5550M APU,3005,1229
AMD A8-5557M APU,2963,1243
AMD A8-5600K APU,4340,899
AMD A8-6500 APU,4385,890
AMD A8-6500B APU,4609,846
AMD A8-6500T APU,3221,1158
AMD A8-6600K APU,4584,853
AMD A8-7100 APU,2804,1298
AMD A8-7200P,3319,1129
AMD A8-7600 APU,5087,755
AMD A8-7650K,4930,791
AMD A8-7670K,5083,756
AMD A8-8600P,3248,1147
AMD A8-8650,5470,697
AMD A8-9600,5005,777
AMD Athlon 200GE,4943,789
AMD Athlon 5370 APU,2898,1271
AMD Athlon II X3 460,2863,1279
AMD Athlon II X4 553,3814,1004
AMD Athlon II X4 555,3830,1001
AMD Athlon II X4 559,4142,941
AMD Athlon II X4 615e,2901,1270
AMD Athlon II X4 620,2937,1251
AMD Athlon II X4 620e,2906,1264
AMD Athlon II X4 630,3135,1188
AMD Athlon II X4 631 Quad-Core,3153,1184
AMD Athlon II X4 635,3242,1151
AMD Athlon II X4 638 Quad-Core,3198,1167
AMD Athlon II X4 640,3312,1131
AMD Athlon II X4 641 Quad-Core,3346,1123
AMD Athlon II X4 645,3474,1090
AMD Athlon II X4 650,3483,1089
AMD Athlon II X4 651 Quad-Core,3572,1065
AMD Athlon II X4 655,2998,1230
AMD Athlon PRO 200GE,5228,732
AMD Athlon X3 450,3064,1210
AMD Athlon X4 620,2861,1280
AMD Athlon X4 635,2891,1273
AMD Athlon X4 640,3172,1172
AMD Athlon X4 740 Quad Core,4009,963
AMD Athlon X4 750 Quad Core,4551,856
AMD Athlon X4 750K Quad Core,4250,921
AMD Athlon X4 760K Quad Core,4595,851
AMD Athlon X4 830,4701,826
AMD Athlon X4 840,5039,770
AMD Athlon X4 845,5427,705
AMD Athlon X4 860K,5430,703
AMD Athlon X4 870K,5298,726
AMD Athlon X4 880K,5533,690
AMD Athlon X4 950,5318,724
AMD Embedded R-Series RX-418GD Radeon R6,5068,760
AMD Embedded R-Series RX-421BD,4635,838
AMD EPYC 7251 8-Core,11344,211
AMD EPYC 7351P,15820,109
AMD EPYC 7401P,18546,60
AMD EPYC 7501,18942,56
AMD EPYC 7551,18483,62
AMD EPYC 7551P,16789,80
AMD FirePro A320 APU,4540,863
AMD FX-4100 Quad-Core,4068,951
AMD FX-4130 Quad-Core,4164,935
AMD FX-4150 Quad-Core,4594,852
AMD FX-4170 Quad-Core,4860,804
AMD FX-4200 Quad-Core,4279,913
AMD FX-4300 Quad-Core,4683,828
AMD FX-4320,5009,775
AMD FX-4330,5321,723
AMD FX-4350 Quad-Core,5335,721
AMD FX-6100 Six-Core,5380,712
AMD FX-6120 Six-Core,5731,661
AMD FX-6130 Six-Core,6215,608
AMD FX-6200 Six-Core,6130,620
AMD FX-6300 Six-Core,6384,600
AMD FX-6330 Six-Core,6916,547
AMD FX-6350 Six-Core,6999,539
AMD FX-670K Quad-Core,4550,857
AMD FX-7500 APU,3212,1162
AMD FX-7600P,4051,953
AMD FX-7600P APU,4627,840
AMD FX-770K Quad-Core,4782,817
AMD FX-8100 Eight-Core,6036,632
AMD FX-8120 Eight-Core,6596,578
AMD FX-8140 Eight-Core,6033,633
AMD FX-8150 Eight-Core,7629,481
AMD FX-8300 Eight-Core,7720,471
AMD FX-8310 Eight-Core,7758,466
AMD FX-8320 Eight-Core,8019,442
AMD FX-8320E Eight-Core,7544,485
AMD FX-8350 Eight-Core,8948,371
AMD FX-8370 Eight-Core,9026,361
AMD FX-8370E Eight-Core,7802,460
AMD FX-870K Quad Core,5105,749
AMD FX-8800P,4147,939
AMD FX-9370 Eight-Core,9457,323
AMD FX-9590 Eight-Core,10193,256
AMD FX-9800P,4002,965
AMD FX-9830P,4729,822
AMD FX-B4150 Quad-Core,4611,845
AMD Opteron 1381,3065,1209
AMD Opteron 2350,2820,1289
AMD Opteron 2356,2814,1292
AMD Opteron 2374 HE,2951,1246
AMD Opteron 2378,3179,1171
AMD Opteron 2384,3538,1076
AMD Opteron 2386 SE,3538,1077
AMD Opteron 2427,3069,1207
AMD Opteron 2431,4516,865
AMD Opteron 2435,4708,824
AMD Opteron 3260 HE,3259,1142
AMD Opteron 3280,5403,709
AMD Opteron 3350 HE,4009,962
AMD Opteron 3365,5963,636
AMD Opteron 3380,6384,601
AMD Opteron 4122,2942,1248
AMD Opteron 4162 EE,3166,1175
AMD Opteron 4170 HE,3664,1045
AMD Opteron 4184,4418,884
AMD Opteron 4280,6430,594
AMD Opteron 4284,6660,571
AMD Opteron 4332 HE,5614,678
AMD Opteron 4334,6099,623
AMD Opteron 4365 EE,5025,771
AMD Opteron 4386,6761,560
AMD Opteron 6128,4505,866
AMD Opteron 6134,2938,1250
AMD Opteron 6136,4631,839
