,brand,name,cpu_type,size,display_port,storage,built_in,network,warranty,price
0,華碩,H110M-C/CSM ,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D,4*SATA3,USB 3.1 Gen1 / COM埠,Realtek Gigabit LAN,註冊四年,2490
1,華碩,H110M-CS,1151 for 7th/6th,M-ATX,1*VGA,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1650
2,華碩,H110M-K,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2190
3,技嘉,H110M-H,1151 for 7th/6th,M-ATX,1*VGA / 1*HDMI,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2090
4,技嘉,H110M-S2PH,1151 for 7th/6th,M-ATX,1*VGA / 1*HDMI,4*SATA3,USB 3.1 Gen1 / LPT+COM埠,Realtek Gigabit LAN,註冊四年,2290
5,技嘉,H110-D3A,1151 for 7th/6th,ATX,1*VGA,1*M.2 / 4*SATA3,USB 3.1 Gen1 / LPT+COM埠,Realtek Gigabit LAN,三年,2890
6,華擎,H110M-ITX,1151 for 7th/6th,mini-ITX,1*DVI-D / 1*HDMI,4*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年.365天換新,2390
7,華擎,H110 Pro BTC+,1151 for 7th/6th,ATX,1*DVI-D,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年.365天換新,2390
8,華碩,H110M-K D3,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1990
9,華碩,Z170M-PLUS,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,1990
10,華碩,PRIME B250M-A,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2990
11,華碩,B250M-A(M-ATX) + G4560代理,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,4490
12,華碩,PRIME B250-PRO,1151 for 7th/6th,ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3390
13,華碩,ROG STRIX B250H GAMING,1151 for 7th/6th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊五年,3490
14,華碩,ROG STRIX B250H Gaming(ATX)+G4560代,1151 for 7th/6th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊五年,5150
15,華碩,ROG STRIX B250F GAMING,1151 for 7th/6th,ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊五年,2490
16,華碩,B250 MINING EXPERT,1151 for 7th/6th,M-ATX,1*HDMI,4*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,2990
17,技嘉,B250M-D2V,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D,6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2190
18,技嘉,B250-FinTech,1151 for 7th/6th,ATX,1.VGA / 1*DVI-D,1*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,3890
19,微星,B250M PRO-VH,1151 for 7th/6th,M-ATX,1*VGA / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1900
20,微星,B250M PRO-VDH,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2090
21,華碩,PRIME H270M-PLUS,1151 for 7th/6th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,2690
22,華碩,ROG STRIX H270F GAMING,1151 for 7th/6th,ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,2790
23,微星,H270M MORTAR ARCTIC,1151 for 7th/6th,M-ATX,1*DVI-D / 1*HDMI / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊五年,2890
