Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,1,422,72,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,2,418,768,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,2,418,768,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,410,537,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,3,410,537,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,4,342,3475,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,5,337,10660,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,6,318,48,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,7,307,11198,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,8,305,993,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,9,303,517,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,10,295,3369,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,11,295,519,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,AGAMMIXS11-480GT-C,XPG,Gammix S11 NVMe PCIe M.2 480GB,12,292,386,https://ssd.userbenchmark.com/SpeedTest/506229/XPG-GAMMIX-S11
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,13,285,29502,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,14,279,7547,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,MKNSSDPL500GB-D8,Mushkin,Pilot NVMe PCIe M.2 500GB,15,277,192,https://ssd.userbenchmark.com/SpeedTest/517228/MKNSSDPL500GB-D8
