,brand_list,name,size,interface,read,write,warranty(year),price
0,三星Samsung,970 EVO NVMe ,250G,M.2 PCIe,讀:3400,寫:1500,5,2450
1,三星Samsung,970 EVO NVMe ,500G,M.2 PCIe,讀:3400,寫:2300,5,4650
2,三星Samsung,970 EVO NVMe ,1TB,M.2 PCIe,讀:3400,寫:2500,5,9500
3,三星Samsung,970 EVO NVMe ,2TB,M.2 PCIe,讀:3500,寫:2500,5,18800
4,三星Samsung,960 PRO NVMe ,2TB,M.2 PCIe,讀:3500,寫:2100,5,25800
5,三星Samsung,970 PRO NVMe ,512G,M.2 PCIe,讀:3500,寫:2300,5,6188
6,三星Samsung,970 PRO NVMe ,1TB,M.2 PCIe,讀:3500,寫:2700,5,14800
7,三星Samsung,860 EVO ,250G,M.2 SATA,讀:550,寫:520,5,1820
8,三星Samsung,860 EVO ,1TB,M.2 SATA,讀:550,寫:520,5,5700
9,三星Samsung,860 EVO ,2TB,M.2 SATA,讀:550,寫:520,5,13300
10,三星Samsung,860 EVO ,250G,m-SATA,讀:550,寫:520,5,1800
11,三星Samsung,860 EVO ,500G,m-SATA,讀:550,寫:520,5,2750
12,三星Samsung,860 EVO ,1TB,m-SATA,讀:550,寫:520,5,5700
13,三星 Samsung,850 EVO ,4TB,"2.5"" 7mm",讀:540,寫:520,5,27800
14,三星 Samsung,850 PRO ,1TB,"2.5"" 7mm",讀:540,寫:520,10,11500
15,三星 Samsung,860 EVO ,250G,"2.5"" 7mm",讀:550,寫:520,5,1820
16,三星 Samsung,860 EVO ,500G,"2.5"" 7mm",讀:550,寫:520,5,2770
17,三星 Samsung,860 EVO ,1TB,"2.5"" 7mm",讀:550,寫:520,5,5700
18,三星 Samsung,860 EVO ,2TB,"2.5"" 7mm",讀:550,寫:520,5,12380
19,三星 Samsung,860 EVO ,4TB,"2.5"" 7mm",讀:550,寫:520,5,28500
20,三星 Samsung,860 PRO ,256G,"2.5"" 7mm",讀:560,寫:530,5,3350
21,三星 Samsung,860 PRO ,512G,"2.5"" 7mm",讀:560,寫:530,5,5520
22,三星 Samsung,860 PRO ,1TB,"2.5"" 7mm",讀:560,寫:530,5,10450
